model_size_label,identity_frame,dimension,coupling_score_mean,behavior_mean_score,self_behavior_correlation,n
2.8b,tool_only,cautious_vs_assertive,-6.133094309997845e-05,-0.007452811928732277,1.0,1
2.8b,tool_only,collaborative_vs_authoritative,0.00016908063580550875,0.006633392271975372,1.0,1
2.8b,tool_only,selfref_vs_impersonal,-0.00017143642426344693,-0.00813494634951405,0.9999999999999998,1
2.8b,tool_only,terse_vs_expansive,-8.553186322243402e-06,-0.002820899773334048,-1.0,1
410m,baseline_helpful,cautious_vs_assertive,-6.392108368982207e-05,-0.006797467436454521,-0.9999999999999999,1
410m,baseline_helpful,collaborative_vs_authoritative,3.669227601332263e-06,-0.010790466479156241,-0.9999999999999999,1
410m,baseline_helpful,selfref_vs_impersonal,-2.707981052515871e-07,-0.008916265818817992,-1.0,1
410m,baseline_helpful,terse_vs_expansive,1.0373792890801056e-05,0.0016764703694922053,0.9999999999999999,1
410m,family_self,cautious_vs_assertive,-7.022567300196935e-06,-0.001191396689375828,1.0,1
410m,family_self,collaborative_vs_authoritative,9.191058390389953e-05,0.013996040746218286,1.0,1
410m,family_self,selfref_vs_impersonal,-8.873267402134325e-07,-0.0003478960505213409,-1.0,1
410m,family_self,terse_vs_expansive,0.0001426657223441632,0.010791305132918042,-1.0,1
410m,instance_self,cautious_vs_assertive,0.00017888317304298764,0.013445501818826592,0.9999999999999999,1
410m,instance_self,collaborative_vs_authoritative,5.689972839019727e-07,-0.0014385275999334955,1.0,1
410m,instance_self,selfref_vs_impersonal,3.6075449192061595e-06,0.000543718003250173,-0.9999999999999999,1
410m,instance_self,terse_vs_expansive,-0.0001609165148822519,0.011923647550667438,1.0,1
410m,tool_only,cautious_vs_assertive,2.3902341701346152e-05,0.004639148984254139,-1.0,1
410m,tool_only,collaborative_vs_authoritative,-6.0770967224147274e-05,-0.011298823296770755,-1.0,1
410m,tool_only,selfref_vs_impersonal,2.9536903371837166e-06,-0.0004678617237647998,1.0,1
410m,tool_only,terse_vs_expansive,0.00019985218034632252,0.014098816028356569,-1.0,1
70m,baseline_helpful,cautious_vs_assertive,5.840446856114804e-05,0.005565110491020308,0.9999999999999998,1
70m,baseline_helpful,collaborative_vs_authoritative,-0.00011205588005222684,-0.026002497855190244,-1.0,1
70m,baseline_helpful,selfref_vs_impersonal,6.874130528188931e-06,-0.0025185640982413778,-1.0,1
70m,baseline_helpful,terse_vs_expansive,-5.805882060323676e-06,-0.010550856063369602,-1.0,1
70m,family_self,cautious_vs_assertive,-1.0301466427285657e-05,0.0008347607951394,-1.0,1
70m,family_self,collaborative_vs_authoritative,-0.00034663714204235234,-0.024311151102526723,0.9999999999999999,1
70m,family_self,selfref_vs_impersonal,5.837060061830648e-07,-0.0005425723527526078,1.0,1
70m,family_self,terse_vs_expansive,0.00011580221609690833,0.0060247296654764694,-1.0,1
70m,instance_self,cautious_vs_assertive,-7.987379386963424e-06,-0.0007069510751887345,-1.0,1
70m,instance_self,collaborative_vs_authoritative,0.00017316530762572855,-0.024227963872994744,1.0,1
70m,instance_self,selfref_vs_impersonal,-1.0585235507475573e-05,0.0016170069936167382,-1.0,1
70m,instance_self,terse_vs_expansive,0.0001613172217892138,0.01162418726644915,-1.0,1
70m,tool_only,cautious_vs_assertive,5.0109913142588994e-06,0.0025472248783608284,1.0,1
70m,tool_only,collaborative_vs_authoritative,5.071745042099933e-05,-0.01751580885680392,0.9999999999999999,1
70m,tool_only,selfref_vs_impersonal,1.2700417734900494e-06,-0.00020169862628175925,1.0,1
70m,tool_only,terse_vs_expansive,-6.545918442804863e-06,-0.0021653538169934886,1.0,1
