model_size_label,identity_frame,axis_name,strength_magnitude,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,seed_count,n
1b,tool_only,selfref_vs_impersonal,1.0,0.25,0.0034443592829516805,0.003988219061211642,1.2717548076328464,1.542957539899943,5,180
2.8b,baseline_helpful,cautious_vs_assertive,1.0,0.3333333333333333,0.004362596160220091,0.00723006504384641,0.6728347138973285,1.7407568102124789,5,180
2.8b,baseline_helpful,collaborative_vs_authoritative,1.0,0.25,0.018648854272022453,0.014281657816999905,1.4162158634942006,1.091450253791034,5,180
2.8b,baseline_helpful,expansive_vs_terse,1.0,0.25,0.017358783726962264,0.013907640060698558,0.6013259997049744,1.0017173039753378,5,180
2.8b,baseline_helpful,selfref_vs_impersonal,1.0,0.2777777777777778,0.013757087583543642,0.008207000259692688,1.2328832165396169,1.091258427322508,5,180
2.8b,family_self,cautious_vs_assertive,1.0,0.2777777777777778,0.0015154779752083749,0.0066601612321254035,0.3832490203215152,1.5658458160004418,5,180
2.8b,family_self,collaborative_vs_authoritative,1.0,0.19444444444444445,0.008882446896707625,0.014235331183545122,1.1242169351642004,1.2900814724025655,5,180
2.8b,family_self,expansive_vs_terse,1.0,0.19444444444444445,0.03214454652388546,0.028586484080292178,1.3075037204772753,1.4140143867594899,5,180
2.8b,family_self,selfref_vs_impersonal,1.0,0.25,0.005606126928474102,0.011466392375887827,0.8964463476343616,1.4121921562154975,5,180
2.8b,instance_self,cautious_vs_assertive,1.0,0.3055555555555556,0.008106491525856362,0.006815716513788562,1.1283422678419337,1.6092082226419842,5,180
2.8b,instance_self,collaborative_vs_authoritative,1.0,0.3055555555555556,0.011295978325202783,0.016025558739146212,1.4606203048412936,1.6884623900673925,5,180
2.8b,instance_self,expansive_vs_terse,1.0,0.3055555555555556,0.00990631452874154,0.02400909252080319,0.6705103146192992,1.4500231714663783,5,180
2.8b,instance_self,selfref_vs_impersonal,1.0,0.25,0.0036971820577834697,0.010210363002959997,1.0007734831217183,1.561508795122119,5,180
2.8b,tool_only,cautious_vs_assertive,1.0,0.3611111111111111,0.005270649779921203,0.0066601612321254035,0.7163144687789165,1.5658458160004418,5,180
2.8b,tool_only,collaborative_vs_authoritative,1.0,0.2777777777777778,0.016178812609971574,0.014235331183545122,1.0001736575625797,1.2900814724025655,5,180
2.8b,tool_only,expansive_vs_terse,1.0,0.3888888888888889,0.00836852945223843,0.028586484080292178,0.36412607217540344,1.4140143867594899,5,180
2.8b,tool_only,selfref_vs_impersonal,1.0,0.3333333333333333,0.008210818506997987,0.011466392375887827,1.0957562503053107,1.4121921562154975,5,180
410m,baseline_helpful,cautious_vs_assertive,1.0,0.4166666666666667,0.007471536760897349,0.009279357392365049,1.444125722521644,0.9458082498362717,5,180
410m,baseline_helpful,collaborative_vs_authoritative,1.0,0.2777777777777778,0.01126428512860157,0.017122183602182508,0.7339003973241376,1.267939994022149,5,180
410m,baseline_helpful,expansive_vs_terse,1.0,0.3055555555555556,0.021214018094555056,0.014933745259796977,0.9409137245183934,1.1965888899878703,5,180
410m,baseline_helpful,selfref_vs_impersonal,1.0,0.2777777777777778,0.006214429777621269,0.005073630769215137,0.9657196147713035,1.0451395046023106,5,180
410m,family_self,cautious_vs_assertive,1.0,0.3333333333333333,0.006045574688069395,0.006966772840009149,1.3361981181569118,0.7696131601722486,5,180
410m,family_self,collaborative_vs_authoritative,1.0,0.2777777777777778,0.008052842466181678,0.017506879612080386,1.0113713491473804,1.284436194998133,5,180
410m,family_self,expansive_vs_terse,1.0,0.2777777777777778,0.016063346463166227,0.015459330021504255,1.1984496586703755,1.1152828656620846,5,180
410m,family_self,selfref_vs_impersonal,1.0,0.25,0.003197712268229702,0.0036814366416054877,0.5925528169616882,1.3031448824905745,5,180
410m,instance_self,cautious_vs_assertive,1.0,0.3055555555555556,0.010883840916131735,0.00815622634591732,1.0337465817860052,1.300141883244439,5,180
410m,instance_self,collaborative_vs_authoritative,1.0,0.3333333333333333,0.02144933901776263,0.0182710014884297,1.306679788139657,1.500322760301202,5,180
410m,instance_self,expansive_vs_terse,1.0,0.3055555555555556,0.01978953124197124,0.024044973599088103,1.1807279339888161,1.2688807943667713,5,180
410m,instance_self,selfref_vs_impersonal,1.0,0.4166666666666667,0.0073434023600569215,0.004903788114105734,1.1820953944142807,1.358875000196697,5,180
410m,tool_only,cautious_vs_assertive,1.0,0.3611111111111111,0.008217222949923627,0.006966772840009149,1.0230068826400263,0.7696131601722486,5,180
410m,tool_only,collaborative_vs_authoritative,1.0,0.3055555555555556,0.01920927850392193,0.017506879612080386,1.2607743650876284,1.284436194998133,5,180
410m,tool_only,expansive_vs_terse,1.0,0.3611111111111111,0.012386420158292773,0.015459330021504255,0.7134457794889904,1.1152828656620846,5,180
410m,tool_only,selfref_vs_impersonal,1.0,0.2222222222222222,0.006860955976885106,0.0036814366416054877,1.5108021245361236,1.3031448824905745,5,180
70m,baseline_helpful,cautious_vs_assertive,1.0,0.25,0.00923643271014168,0.007262273384122357,1.0510772871188272,1.3173539221387618,5,180
70m,baseline_helpful,collaborative_vs_authoritative,1.0,0.25,0.01702428724183134,0.007867704098911412,1.04322053316916,0.13738973836502322,5,180
70m,baseline_helpful,expansive_vs_terse,1.0,0.3333333333333333,0.010443793690103351,0.005114651752772147,1.212140822469981,0.04716345311520972,5,180
70m,baseline_helpful,selfref_vs_impersonal,1.0,0.3611111111111111,0.007999540940127855,0.004036912396525917,1.5471769531245358,0.08315734840243896,5,180
70m,family_self,cautious_vs_assertive,1.0,0.3333333333333333,0.007994483687295327,0.00376191215848902,0.9628610809733814,0.643667708891761,5,180
70m,family_self,collaborative_vs_authoritative,1.0,0.2777777777777778,0.014712592536913318,0.012051265688338171,1.3046203056473373,0.2955517080142238,5,180
70m,family_self,expansive_vs_terse,1.0,0.2777777777777778,0.028090958119490143,0.008653418503355437,1.5931321652005581,0.29642093843333367,5,180
70m,family_self,selfref_vs_impersonal,1.0,0.3055555555555556,0.0073820639887939065,0.004348596554055012,1.6366987457603952,0.33450361611035745,5,180
70m,instance_self,cautious_vs_assertive,1.0,0.3055555555555556,0.007044310992521308,0.004039964415535005,1.0294496812953045,1.0762018589543976,5,180
70m,instance_self,collaborative_vs_authoritative,1.0,0.3055555555555556,0.013974018323392779,0.013456930848887824,0.9859385034445517,0.3427844648947437,5,180
70m,instance_self,expansive_vs_terse,1.0,0.25,0.013781329087356152,0.010490127677653413,1.562236813379355,0.5146676755571655,5,180
70m,instance_self,selfref_vs_impersonal,1.0,0.19444444444444445,0.0030912184354855918,0.0013681134600488122,1.7162423729339549,0.6444191414783429,5,180
70m,tool_only,cautious_vs_assertive,1.0,0.3055555555555556,0.0015448357296229123,0.00376191215848902,0.44990113068184173,0.643667708891761,5,180
70m,tool_only,collaborative_vs_authoritative,1.0,0.3333333333333333,0.011738695826940848,0.012051265688338171,1.4183829240025057,0.2955517080142238,5,180
70m,tool_only,expansive_vs_terse,1.0,0.3888888888888889,0.017668497726061102,0.008653418503355437,1.3905769380936375,0.29642093843333367,5,180
70m,tool_only,selfref_vs_impersonal,1.0,0.3888888888888889,0.0015261565450788656,0.004348596554055012,1.5424102820144314,0.33450361611035745,5,180
